Наименование	Ссылка	Значение	Представление	ОтборЗначений
e9d59357-dd41-11e8-83dc-485ab6090f00	e9d59358-dd41-11e8-83dc-485ab6090f00	Неопределено	Опционально	
e9d59357-dd41-11e8-83dc-485ab6090f00	e9d59359-dd41-11e8-83dc-485ab6090f00	-AllZones	Во всех областях информационной базы	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d5935e-dd41-11e8-83dc-485ab6090f00	MainConfiguration	Основная конфигурация	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d5935f-dd41-11e8-83dc-485ab6090f00	DBConfiguration	Конфигурация базы данных	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d59360-dd41-11e8-83dc-485ab6090f00	VendorConfiguration	Конфигурация поставщика	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d59361-dd41-11e8-83dc-485ab6090f00	ExtensionConfiguration	Расширение конфигурации	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d59362-dd41-11e8-83dc-485ab6090f00	ExtensionDBConfiguration	Расширение конфигурации (база данных)	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d59363-dd41-11e8-83dc-485ab6090f00	ConfigurationRepository	Конфигурация из хранилища конфигурации	
e9d5935d-dd41-11e8-83dc-485ab6090f00	e9d59364-dd41-11e8-83dc-485ab6090f00	File	Файл конфигурации/расширения конфигурации	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5936b-dd41-11e8-83dc-485ab6090f00	MainConfiguration	Основная конфигурация	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5936c-dd41-11e8-83dc-485ab6090f00	DBConfiguration	Конфигурация базы данных	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5936d-dd41-11e8-83dc-485ab6090f00	VendorConfiguration	Конфигурация поставщика	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5936e-dd41-11e8-83dc-485ab6090f00	ExtensionConfiguration	Расширение конфигурации	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d5936f-dd41-11e8-83dc-485ab6090f00	ExtensionDBConfiguration	Расширение конфигурации (база данных)	
e9d5936a-dd41-11e8-83dc-485ab6090f00	e9d59370-dd41-11e8-83dc-485ab6090f00	ConfigurationRepository	Конфигурация из хранилища конфигурации	
